post_id;hashtags
2789361839787853093;diainternacionaldamulher
2789361839787853093;diadasmulheres
2789361839787853093;mulher
2789361839787853093;psicologiaperinatal
2789361839787853093;psicologiaclinica
2778838912451918975;
2776625521096178516;psicologiaperinatal
2776625521096178516;paternidadeativa
2776625521096178516;parentalidadeconsciente
2776625521096178516;nascimentodebebê
2776625521096178516;pai
2773675789902291006;psicologia
2773675789902291006;psicologiaperinatal
2773675789902291006;parentalidade
2773675789902291006;autoconhecimento
2770797604978103808;saudemental
2770797604978103808;dormirbem
2770797604978103808;saudeebemestar
2770797604978103808;psicologia
2770797604978103808;psicoterapia
2765650505013907517;saudemental
2765650505013907517;bemestar
2765650505013907517;saúde
2765650505013907517;psicologia
2765650505013907517;janeirobranco
2764285446354294425;
2746142257403473979;quemcuidadamentecuidadavida
2746142257403473979;janeirobranco
2746142257403473979;cuidedasuasaudemental
2746142257403473979;saudemental
2746142257403473979;psicologia
2746142257403473979;psicoterapiaonline
2744008207171685171;planejamento
2744008207171685171;metas
2744008207171685171;2022
2744008207171685171;gerandoafeto
2744008207171685171;terapiapsicologica
2740994265453335396;psicologia
2740994265453335396;saudemental
2740994265453335396;anonovo
2735760697907063100;gerandoafeto
2735760697907063100;feliznatal
2735760697907063100;perinatalidadeeparentalidade
2733626401173556648;perinatalidade
2733626401173556648;psicologiaperinatal
2733626401173556648;vocesabia
2733626401173556648;terapiapsicologica
2733626401173556648;psicologia
2733626401173556648;maternidade
2733626401173556648;gravidez
2733626401173556648;parto
2733626401173556648;puerperio
2732486721613295327;
2730956008187440607;
2599066396768309207;
2597523480855861991;maternidadereal
2597523480855861991;maternidade
2597523480855861991;parentalidadeconsciente
2597523480855861991;psicologiaperinatal
2597523480855861991;perinatalidade
2597523480855861991;parentalidadepositiva
2596181922579549685;
2588906607440308068;depressãopósparto
2588906607440308068;psicologia
2588906607440308068;psicologiaperinatal
2588906607440308068;parto
2588906607440308068;pósparto
2588906607440308068;depressão
2577299177657221942;
2569970312068555905;felizdiadasmães
2569970312068555905;maternidade
2569970312068555905;maternidadecomamor
2569970312068555905;mamãe
2567911922986718983;gratidao
2567911922986718983;psicologíaperinatal
2567911922986718983;saudemental
2567911922986718983;maternidade
2567152244507299446;maiofrutacor
2567152244507299446;perinatal
2567152244507299446;saudementalimporta
2567152244507299446;saúdementalmaterna
2567152244507299446;depressãopósparto
2567152244507299446;transtornosmentais
2565734190293506543;saudementalmaternaimporta
2565734190293506543;saúdemental
2565734190293506543;perinatal
2565734190293506543;saúdementalmaterna
2558456553817933563;mitoseverdades
2558456553817933563;maternidadereal
2558456553817933563;maternidade
2558456553817933563;psicologiaperinatal
2557745416327507306;
2555555890856232509;
2550395236612593397;
2548328749043314821;planodeparto
2548328749043314821;psicologiaperinatal
2548328749043314821;direitodamulher
2544473138908308063;felizpáscoa
2544012296332968140;psicologia
2544012296332968140;psicologiaperinatal
2544012296332968140;quemsoueu
2540849479706582327;
2538097917489871837;compartilhandooportunidades
2538097917489871837;psicologiaporamor
2538097917489871837;psicologiaperinatal
2538097917489871837;violênciaobstétrica
2525188985367989819;psicologia
2525188985367989819;psicologiaperinatal
2525188985367989819;gravidez
2525188985367989819;puerpério
